Content Title,Content Watch Count,Content Episodes,Content Tags

Forged Success,79.2M,968,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Counterattack']"

Tales of Demons and Gods,157.8M,726,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Rebirth']"

Soul Land,43.2M,592,"['Fantasy', 'Adventure', 'Chinese Classic']"

Star Martial God Technique,46.7M,575,"['Action', 'Fantasy', 'Adventure', 'Eastern Cultivation', 'Harem', 'Chinese Classic']"

The World of Canglan,65.5M,552,"['Romance', 'Fantasy', 'Historical', 'TimeTravel', 'Supernatural', 'Chinese Classic', 'System', 'Counterattack']"

Martial Master,34.1M,548,"['Action', 'Fantasy', 'Eastern Cultivation', 'Chinese Classic', 'Rebirth', 'Counterattack']"

Spirit Sword Master,64.2M,530,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Rebirth', 'Counterattack']"

My Amazing Wechat,52.5M,528,"['School life', 'Action', 'Fantasy', 'Comedy', 'Sci-Fi', 'Supernatural', 'System', 'School Hunk']"

Master of Legendary Realms,29.8M,500,"['Action', 'Fantasy', 'Adventure', 'Unscheduled', 'Chinese Classic']"

Martial Arts Reigns,28.2M,480,"['Action', 'Fantasy', 'Historical', 'Comedy', 'Adventure', 'Supernatural', 'Eastern Cultivation', 'Chinese Classic']"

Boy in A Girls' School,102.7M,473,"['School life', 'Comedy', 'Harem', 'Possessive']"

How to Get Lucky!,29.1M,453,"['School life', 'Action', 'Romance', 'Fantasy', 'Comedy', 'Adventure', 'Supernatural', 'Harem', 'Chinese Classic', 'Counterattack', 'Urban Fantasy']"

Free Walker,13.9M,420,"['Action', 'Fantasy', 'Historical', 'TimeTravel', 'Comedy', 'Adventure', 'Harem', 'Chinese Classic', 'Fated']"

Against the Gods,20.5M,412,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Revenge']"

Royal Romance,55.9M,396,"['Romance', 'Historical', 'Sweet', 'Tragic', 'Chinese Classic', 'Heartwarming']"

Tomin in The Alien World,42.7M,394,"['Action', 'Fantasy', 'Historical', 'TimeTravel', 'Adventure', 'Completed', 'Supernatural', 'Eastern Cultivation', 'Chinese Classic', 'Counterattack']"

Chromosome 47,15.9M,383,"['Horror', 'Action', 'Fantasy', 'Sci-Fi', 'Mystery', 'Adventure']"

An Ambiguous Feeling,48M,376,"['School life', 'Action', 'Romance', 'Fantasy', 'Sci-Fi', 'Harem', 'Sweet', 'Counterattack', 'Urban Fantasy']"

Wife Is School Goddess,27.7M,373,"['School life', 'Action', 'Comedy', 'Adventure', 'Harem', 'Agent', 'Urban Fantasy']"

Forty Millenniums of Cultivation,21.6M,372,"['Action', 'Fantasy', 'Sci-Fi', 'Supernatural', 'Urban Fantasy']"

The Supreme System,18.8M,364,"['Action', 'Fantasy', 'Historical', 'TimeTravel', 'Adventure', 'Supernatural', 'Eastern Cultivation', 'Chinese Classic', 'System', 'Counterattack']"

Return of the Heavenly Monarch,13.3M,355,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Rebirth', 'Revenge']"

Hunk No.1,252.5M,350,"['School life', 'Romance', 'Comedy', 'Urban Romance', 'Completed', 'Sweet', 'Heartwarming', 'School Hunk', 'Fated']"

Supreme Demon Warrior,14.3M,334,"['Action', 'Fantasy', 'Adventure', 'Supernatural', 'Chinese Classic', 'System', 'Counterattack', 'Possessive']"

My Three Thousand Years To The Sky,14.3M,326,"['Action', 'Fantasy', 'Historical', 'Comedy', 'Adventure', 'Eastern Cultivation', 'Harem', 'Chinese Classic', 'Counterattack']"

The Devil Butler,4.9M,321,"['Fantasy', 'Eastern Cultivation', 'Rebirth', 'Revenge']"

"To Revenge, Divine",8.1M,315,"['Action', 'Romance', 'Fantasy', 'Historical', 'TimeTravel', 'Adventure', 'Chinese Classic', 'Rebirth', 'Counterattack']"

Me and My 26-year-old Female Tenant,31.6M,303,"['Action', 'Romance', 'Fantasy', 'Comedy', 'Urban Romance', 'Adventure', 'Completed']"

